Compound_CID,Name,SMILES,InChIKey
3488,Glibenclamide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
4168,Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,TTWJBBZEZQICBI-UHFFFAOYSA-N
1046,Pyrazinamide,C1=CN=C(C=N1)C(=O)N,IPEHBUMCGVEMRF-UHFFFAOYSA-N
2130,Amantadine,C1C2CC3CC1CC(C2)(C3)N,DKNWSYNQZKUICI-UHFFFAOYSA-N
2170,Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,QWGDMFLQWFTERH-UHFFFAOYSA-N
2554,Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N
2726,Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
2882,Cromolyn,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,IMZMKUWMOSJXDT-UHFFFAOYSA-N
3042,Dicyclomine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,CURUTKGFNZGFSE-UHFFFAOYSA-N
4054,Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,BUGYDGFZZOZRHP-UHFFFAOYSA-N
4086,Metaproterenol,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,LMOINURANNBYCM-UHFFFAOYSA-N
4748,Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,RGCVKNLCSQQDEP-UHFFFAOYSA-N
4934,Propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,VVWYOYDLCMFIEM-UHFFFAOYSA-N
5566,Trifluoperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,ZEWQUBUPAILYHI-UHFFFAOYSA-N
6234,Cycloserine,C1[C@H](C(=O)NO1)N,DYDCUQKUCUHJBH-UWTATZPHSA-N
5505,Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N
5533,Trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N
4543,Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,PHVGLTMQBUFIQQ-UHFFFAOYSA-N
5403,Terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,XWTYSIMOBUGWOL-UHFFFAOYSA-N
5503,Tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,OUDSBRTVNLOZBN-UHFFFAOYSA-N
9651,(-)-Galantamine,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,ASUTZQLVASHGKV-JDFRZJQESA-N
667468,(Z)-Doxepin,CN(C)CC/C=C\1/C2=CC=CC=C2COC3=CC=CC=C31,ODQWQRRAPPTVAG-BOPFTXTBSA-N
18340,Midodrine Hydrochloride,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O.Cl,MGCQZNBCJBRZDT-UHFFFAOYSA-N
2717,Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,WEQAYVWKMWHEJO-UHFFFAOYSA-N
3639,Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,JZUFKLXOESDKRF-UHFFFAOYSA-N
3675,Phenelzine,C1=CC=C(C=C1)CCNN,RMUCZJUITONUFY-UHFFFAOYSA-N
4011,Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,QSLMDECMDJKHMQ-UHFFFAOYSA-N
4095,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,USSIQXCVUWKGNF-UHFFFAOYSA-N
2712,"7-Chloro-2-(methylimino)-5-phenyl-2,3-dihydro-4H-1,4-benzodiazepin-4-ol",CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,BUCORZSTKDOEKQ-UHFFFAOYSA-N
3016,Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,AAOVKJBEBIDNHE-UHFFFAOYSA-N
3168,Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,RMEDXOLNCUSCGS-UHFFFAOYSA-N
3676,Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,NNJVILVZKWQKPM-UHFFFAOYSA-N
3696,Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,BCGWQEUPMDMJNV-UHFFFAOYSA-N
3748,Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,NYMGNSNKLVNMIA-UHFFFAOYSA-N
2370,Bethanechol,CC(C[N+](C)(C)C)OC(=O)N,NZUPCNDJBJXXRF-UHFFFAOYSA-O
2478,Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,COVZYZSDYWQREU-UHFFFAOYSA-N
3182,Diprophylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,KSCFJBIXMNOVSH-UHFFFAOYSA-N
3702,Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,NDDAHWYSQHTHNT-UHFFFAOYSA-N
3958,Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,DIWRORZWFLOCLC-UHFFFAOYSA-N
5572,Trihexyphenidyl,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,HWHLPVGTWGOCJO-UHFFFAOYSA-N
5584,Trimipramine,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,ZSCDBOWYZJWBIY-UHFFFAOYSA-N
5770,Reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N
5910,Pilocarpine,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,QCHFTSOMWOSFHM-WPRPVWTQSA-N
4917,Prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,WIKYUJGCLQQFNW-UHFFFAOYSA-N
